No_Stopwords_Text,Topic,Comment_ID
pleasure,2,UgwrwjfgBGytD-XFrrl4AaABAg.AASvnt_fIngAAT-jiLH70h
great video helpful thanks adam ask change max results 100 tried changing didnt work data ive downloaded still 100 entries,2,Ugxc1aJ0NDsE1ySbzxR4AaABAg
follow videos get one latest output comes sheets httpsyoutube1kwffbtofy,2,Ugxc1aJ0NDsE1ySbzxR4AaABAg.A9S8_OgISynA9SMtAhcN1d
thank much brother helped lot,-1,Ugx2UzcKzmMGk81ZP_F4AaABAg
informative thanks adam,2,UgzAXPdPvUQopoguE6h4AaABAg
interesting thanks sharing knowledge,2,UgzI8RnQCnq0Jm2ugw54AaABAg
thanks clare done two follow video topic could find useful bring options mix going one implementing solution directly sheets next weeks httpsyoutubea1iiidqu4i httpsyoutube0ftchji5lmw,2,UgzI8RnQCnq0Jm2ugw54AaABAg.A708YTtao6vA71LdhvWbqL
analyticswithadam wow thats really amazing watch two video well question adam think possible extract engaged comments likes youtube accounts certain channel using youtube api,2,UgzI8RnQCnq0Jm2ugw54AaABAg.A708YTtao6vA75CnT50tnL
claireivyd3p id say first collect comments videos pivot account count comments dont think get likes account ill look,2,UgzI8RnQCnq0Jm2ugw54AaABAg.A708YTtao6vA75M7t0bFzV
get email information authors commented,2,Ugwa0DH6wFE_a3wBG2R4AaABAg
username far goes,2,Ugwa0DH6wFE_a3wBG2R4AaABAg.A6PGc66JsBAA6Tu644ie_W
dont know coding u nailed job well jobed thanx,-1,UgzNbCx96RAy6ajBvvx4AaABAg
funny thing comments seem already sorted sentiment youtube algorithm positive top,2,Ugwhr8A6lVKUq2Pp84J4AaABAg
strange amount likes,-1,Ugwhr8A6lVKUq2Pp84J4AaABAg.A4aMxTsF87JA4aOUQb05de
analyticswithadam comments likes also seem put negative comments bottom test theory though,2,Ugwhr8A6lVKUq2Pp84J4AaABAg.A4aMxTsF87JA4aOwu-c3B9
analyticswithadam yes tested times sometimes right hides negative comments,2,Ugwhr8A6lVKUq2Pp84J4AaABAg.A4aMxTsF87JA4aj0yiPNIt
14142 thats super interesting going give go,2,Ugwhr8A6lVKUq2Pp84J4AaABAg.A4aMxTsF87JA4fgbwkb7N8
thank u much sir code fetch 100 comments maximum please tell efficient way fetch thousands comments,2,UgxpT_xs3_xm-jjkA_N4AaABAg
extract youtube comments comment replies playlist httpsyoutubea1iiidqu4i,2,UgxpT_xs3_xm-jjkA_N4AaABAg.A2wpW0z9ptzA2wuA_2onvH
analyticswithadam playlist fetch 1000s comments,2,UgxpT_xs3_xm-jjkA_N4AaABAg.A2wpW0z9ptzA2x-9MLaY5f
trueman94 create playlist single multiple video creators see get job,2,UgxpT_xs3_xm-jjkA_N4AaABAg.A2wpW0z9ptzA2yIHG7w1B7
fantastic video thanks lot,2,UgyKczfwzXNiqQ6f7tZ4AaABAg
turn json,2,UgxnYDJPawXPngyw2sh4AaABAg
sure json way trim steps,2,UgxnYDJPawXPngyw2sh4AaABAg.A17HQ5Hd42wA1QHwb8fEEf
thanks ton fir video,2,UgygB2llnmQ--SK_7g94AaABAg
hello adam grab comments limited great work,2,UgzqrToO0b00DdzbOIN4AaABAg
made updated video httpsyoutubea1iiidqu4isi8d4opoihpr2jjm,2,UgzqrToO0b00DdzbOIN4AaABAg.A0ErtEBpy7HA0EwEUUhOkC
great tutorial thanks mate fellow irishman,2,UgyDzSdwoMV1f9VxDS94AaABAg
way export list comments excel sheet,2,UgwMdKh6F0f-1eEqP2J4AaABAg
yeah u saved list number libraries could use could write new csv file,2,UgwMdKh6F0f-1eEqP2J4AaABAg.A0-Y2VyV2wLA2oaNOocPQZ
updated video replies httpsyoutubea1iiidqu4isi8d4opoihpr2jjm,2,UgzkcD44BkQbOrivOll4AaABAg
youtube community posts youtube api,2,UgzkcD44BkQbOrivOll4AaABAg.A-UoAvoWMMGA7SA4uleZor
great information thanks contribution,2,Ugzz0Fpf8d14FK0A4IF4AaABAg
need direct link google cloud api requiring sign get 300 dollar credit spend next 90 days wtf cannot continue since tutorial video incomplete forcing put payment method done google api issue,2,Ugw3LRrF8G13t8jJPOt4AaABAg
great stuff thanks wonder retrieve comments related specific topic video title multiple videos video link required parameter thanks,2,UgygAw6xUMLHoggsH0F4AaABAg
posted subsequent video another one works far pull comments channel playlist video multiple pulling list video ids pull python well,2,UgygAw6xUMLHoggsH0F4AaABAg.9z6diBfBOPr9z6mUnBmOZ3
